,SKU,Wayfair SKU,Problem_Number,total_qty
605,S525B-L22-B2-1(MOTOR ONLY),S525B-L22-B2-1(MOTOR ONLY),3,1
606,S525B-L22-B2-1-FM (8x washers),S525B-L22-B2-1-FM (8x washers),10,8
607,S525B-L22-B2-1-FM (FAN BLADE BRACKET ONLY),S525B-L22-B2-1-FM (FAN BLADE BRACKET ONLY),9,1
608,S525B-L22-B2-1-FM (LAMPSHADE ONLY),S525B-L22-B2-1-FM (LAMPSHADE ONLY),8,1
609,S525B-L22-B2-1-FM (SCREWS ONLY),S525B-L22-B2-1-FM (SCREWS ONLY),10,1
610,S525B-L22-B2-1-FM(MOTOR ONLY),S525B-L22-B2-1-FM(MOTOR ONLY),5,1
611,S525B-L22-B5-1,S525B-L22-B5-1,15,2
612,S525B-L22-B5-1 (LAMPSHADE ONLY),S525B-L22-B5-1 (LAMPSHADE ONLY),8,1
613,S525B-L22-BS-1-FM (SCREWS ONLY),S525B-L22-BS-1-FM (SCREWS ONLY),10,1
614,S525B-L22-W1-1 (FAN BLADE BRACKET ONLY),S525B-L22-W1-1 (FAN BLADE BRACKET ONLY),17,1
615,S525B-L22-W1-1 (MOTOR ONLY),S525B-L22-W1-1 (MOTOR ONLY),3,2
616,S525B-L22-W1-1-FM (FAN BLADES ONLY),S525B-L22-W1-1-FM (FAN BLADES ONLY),8,1
617,S525B-L22-W1-1-FM (LAMPSHADE ONLY),S525B-L22-W1-1-FM (LAMPSHADE ONLY),8,2
618,S525B-L22-W1-1-FM (MOTOR ONLY),S525B-L22-W1-1-FM (MOTOR ONLY),14,1
619,S525B3-L22-B2-1G (LAMPSHADE ONLY),S525B3-L22-B2-1G (LAMPSHADE ONLY),8,6
620,S525B3-L22-B5-1 (FAN BLADE BRAKET ONLY),S525B3-L22-B5-1 (FAN BLADE BRAKET ONLY),10,1
621,S525B3-L22-B5-1 (LAMPSHADE ONLY),S525B3-L22-B5-1 (LAMPSHADE ONLY),8,3
622,S525B3-L22-BS-1 (LAMPSHADE ONLY),S525B3-L22-BS-1 (LAMPSHADE ONLY),8,2
623,S525B3-L22-W1-1 (Blade Bracket Only),S525B3-L22-W1-1 (Blade Bracket Only),8,1
624,S525B3-L22-W1-1 (FAN BLADE BRACKET ONLY),S525B3-L22-W1-1 (FAN BLADE BRACKET ONLY),9,1
625,S525B3-L22-W1-1 (LAMPSHADE ONLY),S525B3-L22-W1-1 (LAMPSHADE ONLY),10,1
626,S525B3-L22-W1-1 (LAMPSHADE ONLY),S525B3-L22-W1-1 (LAMPSHADE ONLY),8,3
627,S525B3-L22-W1-1 (MOTOR ONLY),S525B3-L22-W1-1 (MOTOR ONLY),3,1
628,S525B3-L22-W1-1 (blade screws + bracket screws),S525B3-L22-W1-1 (blade screws + bracket screws),8,2
629,S525B5-L11-B2-1G (MOTOR ONLY),S525B5-L11-B2-1G (MOTOR ONLY),3,1
630,S525E-L12-B2-1 (FAN BLADE BRAKET ONLY),S525E-L12-B2-1 (FAN BLADE BRAKET ONLY),10,1
631,S525E-L12-B2-1G (FAN BLADE BRACKET ONLY),S525E-L12-B2-1G (FAN BLADE BRACKET ONLY),17,1
632,S525E-L12-B2-1G (LAMPSHADE ONLY),S525E-L12-B2-1G (LAMPSHADE ONLY),8,2
633,S525E-L12-B3-1 (LAMPSHADE ONLY),S525E-L12-B3-1 (LAMPSHADE ONLY),8,1
634,S525E-L12-B3-1 (LED BOARD ONLY),S525E-L12-B3-1 (LED BOARD ONLY),8,1
635,S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),4,1
636,S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),S525E-L12-B3-1 (MOTOR & ADAPTER ONLY),5,1
637,S525E-L12-B3-1 (MOTOR ONLY),S525E-L12-B3-1 (MOTOR ONLY),3,1
638,S525E-L12-BF-1 (MOTOR ONLY),S525E-L12-BF-1 (MOTOR ONLY),3,2
639,S525E-L12-BG-1 (LAMPSHADE ONLY),S525E-L12-BG-1 (LAMPSHADE ONLY),8,1
640,S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),4,1
641,S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),S525E-L12-BO-1 (MOTOR & ADAPTER-24V2A ONLY),5,1
642,S525E-L12-BO-1(LED BOARD & MAGNETS ONLY),S525E-L12-BO-1(LED BOARD & MAGNETS ONLY),8,1
643,S525E2-L11-B2-1G-FM (SCREWS ONLY),S525E2-L11-B2-1G-FM (SCREWS ONLY),10,1
644,S525E3-L12-W1-1G (LAMSHADE ONLY),S525E3-L12-W1-1G (LAMSHADE ONLY),8,1
645,S525E3-L12-W1-1G-1 (LAMPSHADE ONLY),S525E3-L12-W1-1G-1 (LAMPSHADE ONLY),8,1
646,S525E5-L12-W1-1 (MANUAL ONLY),S525E5-L12-W1-1 (MANUAL ONLY),10,1
647,S525H-L13-B5-1 (FAN BLADE GROMMETS ONLY),S525H-L13-B5-1 (FAN BLADE GROMMETS ONLY),10,5
648,S525H-L13-B5-1 (FAN BLADE SCREWS ONLY),S525H-L13-B5-1 (FAN BLADE SCREWS ONLY),10,10
649,S525H-L13-B5-1 (LAMPSHADE COVER ONLY),S525H-L13-B5-1 (LAMPSHADE COVER ONLY),10,1
650,S525H-L13-B5-1 (MOTOR ONLY),S525H-L13-B5-1 (MOTOR ONLY),3,1
651,S525H-L13-G2-1 (FAN BLADE GROMMETS ONLY),S525H-L13-G2-1 (FAN BLADE GROMMETS ONLY),10,5
652,S525H-L13-G2-1 (FAN BLADES ONLY),S525H-L13-G2-1 (FAN BLADES ONLY),10,2
653,S525H-L13-G2-1 (FAN BLADES ONLY),S525H-L13-G2-1 (FAN BLADES ONLY),17,1
654,S525H-L13-G2-1 (MOTOR & ADAPTER ONLY),S525H-L13-G2-1 (MOTOR & ADAPTER ONLY),3,1
655,S525H-L13-G2-1 (MOTOR ONLY),S525H-L13-G2-1 (MOTOR ONLY),3,2
656,S525H-L13-G2-1 (SCREWS ONLY),S525H-L13-G2-1 (SCREWS ONLY),10,2
657,S525H-L13-G2-1(FAN BLADE GROMMETS ONLY BLACK),S525H-L13-G2-1(FAN BLADE GROMMETS ONLY BLACK),10,5
658,S525H-L13-W1-1 (FAN BLADE GROMMETS ONLY),S525H-L13-W1-1 (FAN BLADE GROMMETS ONLY),10,10
659,S525H-L13-W1-1 (FAN BLADES ONLY),S525H-L13-W1-1 (FAN BLADES ONLY),9,5
660,S525H-L13-W1-1 (LAMPSHADE ONLY),S525H-L13-W1-1 (LAMPSHADE ONLY),9,1
661,S525H-L13-W1-1 (LED BOARD & MAGNETS ONLY),S525H-L13-W1-1 (LED BOARD & MAGNETS ONLY),10,1
662,S525J-L12-B2-1 (LED BOARD & MAGNETS ONLY),S525J-L12-B2-1 (LED BOARD & MAGNETS ONLY),10,1
663,S525J-L12-B2-1 (LED BOARD + MAGNETS ONLY),S525J-L12-B2-1 (LED BOARD + MAGNETS ONLY),8,1
664,S525J-L12-B5-1,S525J-L12-B5-1,4,1
665,S525J-L12-B5-1,S525J-L12-B5-1,5,1
666,S525J-L12-B5-1 (LAMPSHADE ONLY),S525J-L12-B5-1 (LAMPSHADE ONLY),8,3
667,S525J-L12-B5-1 (LED BOARD ONLY),S525J-L12-B5-1 (LED BOARD ONLY),8,1
668,S525J-L12-B5-1 (LIGHT KIT PAN ONLY),S525J-L12-B5-1 (LIGHT KIT PAN ONLY),8,1
669,S525J-L12-B5-1 (MOTOR COVER ONLY),S525J-L12-B5-1 (MOTOR COVER ONLY),9,1
670,S525J-L12-B5-1 (MOTOR ONLY),S525J-L12-B5-1 (MOTOR ONLY),3,4
671,S525J-L12-BG-1 (FAN BLADES ONLY),S525J-L12-BG-1 (FAN BLADES ONLY),9,1
672,S525J-L12-BG-1-FM,S525J-L12-BG-1-FM,4,1
673,S525J-L12-BG-1-FM,S525J-L12-BG-1-FM,5,1
674,S525J-L12-BG-1-FM (FAN BLADES ONLY),S525J-L12-BG-1-FM (FAN BLADES ONLY),9,1
675,S525J-L12-BG-1-FM (LED BOARD ONLY),S525J-L12-BG-1-FM (LED BOARD ONLY),1,1
676,S525J-L12-BG-1-FM (LED BOARD ONLY),S525J-L12-BG-1-FM (LED BOARD ONLY),2,1
677,S525J-L12-BG-1-FM (MOTOR ONLY),S525J-L12-BG-1-FM (MOTOR ONLY),3,5
678,S525J-L12-BG-1-FM (MOTOR ONLY),S525J-L12-BG-1-FM (MOTOR ONLY),8,1
679,S525J-L12-BG-1-FMA(LED BOARD & MAGNETS ONLY),S525J-L12-BG-1-FMA(LED BOARD & MAGNETS ONLY),10,1
680,S525J-L12-BO-1 (LAMPSHADE ONLY),S525J-L12-BO-1 (LAMPSHADE ONLY),8,1
681,S525J-L12-W1-1G-FM (LAMPSHADE ONLY),S525J-L12-W1-1G-FM (LAMPSHADE ONLY),8,3
682,S525J-L12-W1-1G-FM (MOTOR & ADAPTER ONLY),S525J-L12-W1-1G-FM (MOTOR & ADAPTER ONLY),3,1
683,S525J-L12-W1-1G-FM (MOTOR ONLY),S525J-L12-W1-1G-FM (MOTOR ONLY),3,3
684,S525J1-L11-B2-1-FM (MOTOR ONLY),S525J1-L11-B2-1-FM (MOTOR ONLY),3,1
685,S525J1-L11-B2-1G ( FAN BLADE BRACKETS ONLY),S525J1-L11-B2-1G ( FAN BLADE BRACKETS ONLY),17,5
686,S525J1-L11-B2-1G (FAN BLADES ONLY),S525J1-L11-B2-1G (FAN BLADES ONLY),10,1
687,S525J1-L11-B2-1G (FAN BLADES ONLY),S525J1-L11-B2-1G (FAN BLADES ONLY),17,1
688,S525J1-L11-B2-1G-FM (MOTOR ONLY),S525J1-L11-B2-1G-FM (MOTOR ONLY),3,3
689,S525J1-L11-B5-1,S525J1-L11-B5-1,4,1
690,S525J1-L11-B5-1,S525J1-L11-B5-1,5,1
691,S525J1-L11-B5-1 (LED BOARD ONLY),S525J1-L11-B5-1 (LED BOARD ONLY),8,1
692,S525J1-L11-B5-1 (MOTOR ONLY),S525J1-L11-B5-1 (MOTOR ONLY),3,1
693,S525J1-L11-B5-1(LAMPSHADE ONLY),S525J1-L11-B5-1(LAMPSHADE ONLY),8,1
694,S525J1-L11-B5-1(MOTOR ONLY),S525J1-L11-B5-1(MOTOR ONLY),3,1
695,S525J1-L11-BG-1-FM (LAMPSHADE ONLY),S525J1-L11-BG-1-FM (LAMPSHADE ONLY),8,1
696,S525J1-L11-W1-1 (LAMPSHADE ONLY),S525J1-L11-W1-1 (LAMPSHADE ONLY),8,1
697,S525J1-L11-W1-1 (LED BOARD & MAGNETS ONLY),S525J1-L11-W1-1 (LED BOARD & MAGNETS ONLY),8,1
698,S525J1-L11-W1-1G-FM (MOTOR ONLY),S525J1-L11-W1-1G-FM (MOTOR ONLY),1,2
699,S525J1-L11-W1-1G-FM (MOTOR ONLY),S525J1-L11-W1-1G-FM (MOTOR ONLY),3,1
700,S525J1-L12-B2-1 (LED BOARD & MAGNETS ONLY),S525J1-L12-B2-1 (LED BOARD & MAGNETS ONLY),17,1
701,S525J1-L12-W1-1 (MOTOR ONLY),S525J1-L12-W1-1 (MOTOR ONLY),3,1
702,S525J1-L21-B5-1-FM (LAMPSHADE ONLY),S525J1-L21-B5-1-FM (LAMPSHADE ONLY),8,1
703,S525J1-L21-B5-1-FM (MOTOR ONLY),S525J1-L21-B5-1-FM (MOTOR ONLY),6,1
704,S525J1-L21-B5-1-FM(MOTOR ONLY),S525J1-L21-B5-1-FM(MOTOR ONLY),3,1
705,S525J1-L21-BG-1-FM (LAMPSHADE ONLY),S525J1-L21-BG-1-FM (LAMPSHADE ONLY),8,1
706,S525J1-L21-BG-1-FM (MOTOR ONLY),S525J1-L21-BG-1-FM (MOTOR ONLY),2,1
707,S525J1-L21-BG-1-FM (MOTOR ONLY),S525J1-L21-BG-1-FM (MOTOR ONLY),3,1
708,S525J2-L21-B5-1-FM (MOTOR ONLY),S525J2-L21-B5-1-FM (MOTOR ONLY),3,1
709,S525Q2-L12-W1-1 (MOTOR ONLY),S525Q2-L12-W1-1 (MOTOR ONLY),3,1
710,S525S-L12-W1-1 (MOTOR ONLY),S525S-L12-W1-1 (MOTOR ONLY),3,1
711,S525S-L13-B5-1 (MOTOR ONLY),S525S-L13-B5-1 (MOTOR ONLY),3,2
712,S525S-L13-W1-1 (FAN BLADE GROMMETS ONLY),S525S-L13-W1-1 (FAN BLADE GROMMETS ONLY),10,5
713,S525W-L12-B5-1 (LIGHT KIT SCREWS ONLY),S525W-L12-B5-1 (LIGHT KIT SCREWS ONLY),10,3
714,S563B-L-12-B5-1 (COLLAR ONLY),S563B-L-12-B5-1 (COLLAR ONLY),10,1
715,S563B-L12-B2-1G (MOTOR & ADAPTER ONLY),S563B-L12-B2-1G (MOTOR & ADAPTER ONLY),3,1
716,S563B-L12-B5-1 (FAN BLADES ONLY),S563B-L12-B5-1 (FAN BLADES ONLY),17,1
717,S563B-L12-B5-1 (MOTOR ONLY),S563B-L12-B5-1 (MOTOR ONLY),3,1
718,S563B3-L22-W1-1 (LAMPSHADE ONLY),S563B3-L22-W1-1 (LAMPSHADE ONLY),8,1
719,S563F-L13-B2-1 (FAN BLADES ONLY),S563F-L13-B2-1 (FAN BLADES ONLY),9,1
720,S563F-L13-S8-1 (MOTOR ONLY),S563F-L13-S8-1 (MOTOR ONLY),3,1
721,S565B3-L22-B2-1G (GLASS LAMP SHADE),S565B3-L22-B2-1G (GLASS LAMP SHADE),8,1
722,S565B3-L22-B2-1G (LAMPSHADE ONLY),S565B3-L22-B2-1G (LAMPSHADE ONLY),8,2
723,S565E-L12-B3-1 (LAMPSHADE ONLY),S565E-L12-B3-1 (LAMPSHADE ONLY),8,1
724,S565E-L12-B3-1 (MOTOR & ADAPTER ONLY),S565E-L12-B3-1 (MOTOR & ADAPTER ONLY),1,1
725,S565E-L12-B3-1 (MOTOR & ADAPTER ONLY),S565E-L12-B3-1 (MOTOR & ADAPTER ONLY),3,1
726,S565E-L12-B3-1 (MOTOR ONLY),S565E-L12-B3-1 (MOTOR ONLY),3,1
727,S565E-L12-BF-1,S565E-L12-BF-1,1,1
728,S565E-L12-BF-1,S565E-L12-BF-1,2,1
729,S565E-L12-BF-1,S565E-L12-BF-1,3,1
730,S565E-L12-BF-1,S565E-L12-BF-1,6,1
731,S565E-L12-BF-1 (LED BOARD ONLY),S565E-L12-BF-1 (LED BOARD ONLY),6,1
732,S565E-L12-BF-1 (MOTOR ONLY),S565E-L12-BF-1 (MOTOR ONLY),1,1
733,S565E-L12-BO-1 (LED BOARD ONLY),S565E-L12-BO-1 (LED BOARD ONLY),8,1
734,S565H-L13-B5-1 (MOTOR ONLY),S565H-L13-B5-1 (MOTOR ONLY),3,2
735,S565H-L13-B5-1 (SCREWS ONLY),S565H-L13-B5-1 (SCREWS ONLY),10,1
736,S565H-L13-G2-1 (FAN BLADES ONLY),S565H-L13-G2-1 (FAN BLADES ONLY),17,1
737,S565H-L13-G2-1 (MOTOR ONLY),S565H-L13-G2-1 (MOTOR ONLY),3,1
738,S565H-L13-G3-1 (MOTOR ONLY),S565H-L13-G3-1 (MOTOR ONLY),3,1
739,S565H-L13-S2-1(MOTOR ONLY),S565H-L13-S2-1(MOTOR ONLY),3,3
740,S565H-L13-S6-1,S565H-L13-S6-1,4,2
741,S565H-L13-S6-1,S565H-L13-S6-1,5,2
742,S565H-L13-S6-1 (FAN BLADES ONLY),S565H-L13-S6-1 (FAN BLADES ONLY),9,1
743,S565J1-L11-BG-1,S565J1-L11-BG-1,17,1
744,S565S-L13-B5-1 (MOTOR & ADAPTER ONLY),S565S-L13-B5-1 (MOTOR & ADAPTER ONLY),5,2
745,S585Q5-L12-W1-1-FMA (MOTOR ONLY),S585Q5-L12-W1-1-FMA (MOTOR ONLY),3,1
746,S603F-L13-B2-1 (LIGHT KIT ONLY),S603F-L13-B2-1 (LIGHT KIT ONLY),8,1
747,S603F-L13-W1,S603F-L13-W1,17,1
748,S603F-L13-W1,S603F-L13-W1,3,1
749,S603F-L13-W1,S603F-L13-W1,8,1
750,S603F-L13-W1 (MOTOR ONLY),S603F-L13-W1 (MOTOR ONLY),3,1
751,S603F-L13-W1-1 (FAN BLADES ONLY),S603F-L13-W1-1 (FAN BLADES ONLY),9,1
752,S603J-L12-B2-1 (MOTOR ONLY),S603J-L12-B2-1 (MOTOR ONLY),3,1
753,S603Q-L12-B2-1 (MOTOR ONLY),S603Q-L12-B2-1 (MOTOR ONLY),3,1
754,S605J-L12-BG-1,S605J-L12-BG-1,9,1
755,S605J-L12-BG-1 (LAMPSHADE ONLY),S605J-L12-BG-1 (LAMPSHADE ONLY),10,1
756,S605J-L12-BG-1 (MOTOR ONLY),S605J-L12-BG-1 (MOTOR ONLY),3,3
757,S605J-L12-W1-1 (LAMPSHADE ONLY),S605J-L12-W1-1 (LAMPSHADE ONLY),8,1
758,S605J1-L11-B5-1 (LAMPSHADE ONLY),S605J1-L11-B5-1 (LAMPSHADE ONLY),8,1
759,S605J1-L11-B5-1 (MOTOR ONLY),S605J1-L11-B5-1 (MOTOR ONLY),3,1
760,S605J1-L11-W1-1 (LED BOARD),S605J1-L11-W1-1 (LED BOARD),6,1
761,SAFTEY CABLE ONLY (6inch & 12inch),SAFTEY CABLE ONLY (6inch & 12inch),10,2
762,SAFTEY CABLE ONLY 6inch & 12,SAFTEY CABLE ONLY 6inch & 12,10,1
763,TRI-JZS75013,TRI-JZS75013,8,2
764,TRI-JZS9500,TRI-JZS9500,8,1
765,WGA-523A5-L12-BG-1 (LED BOARD ONLY),WGA-523A5-L12-BG-1 (LED BOARD ONLY),10,1
766,WGA-523A5-L12-W1-1G (LAMPSHADE ONLY),WGA-523A5-L12-W1-1G (LAMPSHADE ONLY),8,1
767,WGA-523A5-L12-W1-1G (MOTOR ONLY),WGA-523A5-L12-W1-1G (MOTOR ONLY),4,1
768,WGA-524A3-L12-B2-1 (LAMP SHADE ONLY),WGA-524A3-L12-B2-1 (LAMP SHADE ONLY),8,1
769,WGA-524C-L11-SC-1 (MOTOR ONLY),WGA-524C-L11-SC-1 (MOTOR ONLY),10,2
770,WGA-524H2-L11-B2-1 (LAMPSHADE ONLY),WGA-524H2-L11-B2-1 (LAMPSHADE ONLY),8,2
771,WGA-524H2-L11-SJ-1,WGA-524H2-L11-SJ-1,4,2
772,WGA-524H2-L11-SJ-1,WGA-524H2-L11-SJ-1,5,2
773,WGDR14-F21B-A,WGDR14-F21B-A,17,4
774,WGDR18-F21B-A,WGDR18-F21B-A,17,4
775,WGS-423D1-L11-BK-1,WGS-423D1-L11-BK-1,4,1
776,WGS-423D1-L11-BK-1,WGS-423D1-L11-BK-1,5,1
777,WGS-523A1-L12-WL-1 (MOTOR ONLY),WGS-523A1-L12-WL-1 (MOTOR ONLY),3,1
778,WGS-523B-L11-SM-1,WGS-523B-L11-SM-1,6,1
779,WGS-523B-L11-W1-1 (LAMPSHADE ONLY),WGS-523B-L11-W1-1 (LAMPSHADE ONLY),8,1
780,WGS-523B-L11-W1-1 (MOTOR ONLY),WGS-523B-L11-W1-1 (MOTOR ONLY),3,2
781,WGS-523BL(LAMPSHADE ONLY),WGS-523BL(LAMPSHADE ONLY),8,1
782,WGS-523BL-11 (GLASS SHADE),WGS-523BL-11 (GLASS SHADE),8,1
783,WGS-524G-L12-B2-1FM (FAN BLADE ASSEMBLY ONLY),WGS-524G-L12-B2-1FM (FAN BLADE ASSEMBLY ONLY),17,1
784,WGS-525A2-L11-WN-1 (GLASS SHADE),WGS-525A2-L11-WN-1 (GLASS SHADE),8,1
785,WIRE HARNESS ONLY,WIRE HARNESS ONLY,8,1
786,YD443N2-L11-W1-1-FM (MOTOR ONLY),YD443N2-L11-W1-1-FM (MOTOR ONLY),3,1
787,YDC-443N2L-B2-1-FM (MOTOR ONLY),YDC-443N2L-B2-1-FM (MOTOR ONLY),3,1
788,YDC-525J-L11-BG-1-FM (BLADE BRACKET ONLY),YDC-525J-L11-BG-1-FM (BLADE BRACKET ONLY),10,1
789,YDC-525J-L12-W1-1-FM (LAMPSHADE ONLY),YDC-525J-L12-W1-1-FM (LAMPSHADE ONLY),8,1
790,YDC363V2-L12-W1-1-FM,YDC363V2-L12-W1-1-FM,17,1
791,YDC363V2-L12-W1-1-FM,YDC363V2-L12-W1-1-FM,3,1
792,YDC363V2-L12-W1-1-FM (LIGHT KIT ONLY),YDC363V2-L12-W1-1-FM (LIGHT KIT ONLY),8,1
793,YDC443N2-L11-B2-1-FM,YDC443N2-L11-B2-1-FM,17,1
794,YDC443N2-L11-B2-1-FM (LED BOARD ONLY),YDC443N2-L11-B2-1-FM (LED BOARD ONLY),1,1
795,YDC443N2-L11-B21-FM (MOTOR ONLY),YDC443N2-L11-B21-FM (MOTOR ONLY),6,1
796,YDC443N2-L11-W1-1-FM (MOTOR ONLY),YDC443N2-L11-W1-1-FM (MOTOR ONLY),17,1
797,YDC443N2-L11-W1-1-FM (MOTOR ONLY),YDC443N2-L11-W1-1-FM (MOTOR ONLY),3,1
798,YDC443Q-L12-BG-1-FM (LED BOARD +  MAGNETS ONLY),YDC443Q-L12-BG-1-FM (LED BOARD +  MAGNETS ONLY),17,1
799,YDC443Q-L12-BG-1-FM (MOTOR ONLY),YDC443Q-L12-BG-1-FM (MOTOR ONLY),3,1
800,YDC443Q-L12-WP-1-FM (LED BOARD ONLY),YDC443Q-L12-WP-1-FM (LED BOARD ONLY),10,1
801,YDC443Q-L12-WP-1-FM (MOTOR ONLY),YDC443Q-L12-WP-1-FM (MOTOR ONLY),3,1
802,YDC443Q-L12-WP-1-FM (SCREWS ONLY),YDC443Q-L12-WP-1-FM (SCREWS ONLY),10,1
803,YDC443Q-L12-WU-1-FM (LAMPSHADE ONLY),YDC443Q-L12-WU-1-FM (LAMPSHADE ONLY),8,1
804,YDC453V2-L12-B2-1-FM,YDC453V2-L12-B2-1-FM,4,1
805,YDC453V2-L12-B2-1-FM (MOTOR ONLY),YDC453V2-L12-B2-1-FM (MOTOR ONLY),3,1
806,YDC453V2-L12-W1-1-FM (FAN BLADE ONLY),YDC453V2-L12-W1-1-FM (FAN BLADE ONLY),9,1
807,YDC483Q-L11-BG-1-FM (MOTOR ONLY),YDC483Q-L11-BG-1-FM (MOTOR ONLY),3,1
808,YDC483Q-L11-WP-1-FM  (FAN BLADES ONLY),YDC483Q-L11-WP-1-FM  (FAN BLADES ONLY),8,1
809,YDC483Q-L11-WP-1-FM (MOTOR ONLY),YDC483Q-L11-WP-1-FM (MOTOR ONLY),3,1
810,YDC483Q-L12-BG-1-FM (MOTOR ONLY),YDC483Q-L12-BG-1-FM (MOTOR ONLY),3,1
811,YDC483Q-L12-W1-1-FM (FAN BLADE ONLY),YDC483Q-L12-W1-1-FM (FAN BLADE ONLY),8,1
812,YDC483Q-L12-W1-1-FM (FAN BLADES ONLY),YDC483Q-L12-W1-1-FM (FAN BLADES ONLY),17,1
813,YDC483Q-L12-WP-1-FM (LAMPSHADE ONLY),YDC483Q-L12-WP-1-FM (LAMPSHADE ONLY),8,1
814,YDC483Q-L12-WP-1-FM (MOTOR ONLY),YDC483Q-L12-WP-1-FM (MOTOR ONLY),3,1
815,YDC523J-L12-BG-1-FM (BLADE BRAKET ONLY),YDC523J-L12-BG-1-FM (BLADE BRAKET ONLY),8,1
816,YDC523J-L12-BG-1-FM (SCREWS ONLY),YDC523J-L12-BG-1-FM (SCREWS ONLY),10,1
817,YDC525J-L11-BG-1-FM (LAMPSHADE ONLY),YDC525J-L11-BG-1-FM (LAMPSHADE ONLY),8,1
818,YDC525J-L12-W1-1-FM (MOTOR ONLY),YDC525J-L12-W1-1-FM (MOTOR ONLY),3,2
819,YDC603Q-L11-W1-1-FM (MOTOR ONLY),YDC603Q-L11-W1-1-FM (MOTOR ONLY),3,1
820,YDC603Q-L12-W1-1-FM (FAN BLADES ONLY),YDC603Q-L12-W1-1-FM (FAN BLADES ONLY),17,1
821,YDC605J-L11-B2-1G-FM (LED BOARD & MAGNETS ONLY),YDC605J-L11-B2-1G-FM (LED BOARD & MAGNETS ONLY),10,1
822,YDC605J-L11-BG-1 (MOTOR ONLY),YDC605J-L11-BG-1 (MOTOR ONLY),16,1
823,YDC605J-L11-BG-1-FM (MOTOR ONLY),YDC605J-L11-BG-1-FM (MOTOR ONLY),3,1
824,YDC605J-L11-BO-1 (FAN BLADES ONLY),YDC605J-L11-BO-1 (FAN BLADES ONLY),9,1
825,YDC605J-L11-W1-1G (LED BOARD & MAGNETS ONLY),YDC605J-L11-W1-1G (LED BOARD & MAGNETS ONLY),10,1
826,YDC605J-L12-B2-1 (MOTOR ONLY),YDC605J-L12-B2-1 (MOTOR ONLY),3,2
827,YDC605J-L12-B2-1G-FM (MOTOR ONLY),YDC605J-L12-B2-1G-FM (MOTOR ONLY),3,1
